Fecha;Hilillos;Vadillo;Recueja;Cofin;Medialijo;Campo Bajo;Muga;Secano
10/04/2009;0;0;0;0;0;0;0;0
13/04/2009;0;0;0;0;0;0;0;0
15/04/2009;0;0;0;0;0;0;0;0
17/04/2009;0;0;0;0;0;0;0;0
20/04/2009;0;0;0;0;0;0;0;0
22/04/2009;0;0;0;0;0;0;0;0
24/04/2009;0;0;0;0;0;0;0;0
27/04/2009;0;0;0;1;0;0;0;0
29/04/2009;0;0;0;0;0;0;0;0
03/05/2009;0;0;0;0;0;0;0;0
04/05/2009;1;0;0;0;0;0;1;0
07/05/2009;0;0;0;0;0;0;1;0
08/05/2009;0;0;0;0;0;0;1;0
11/05/2009;0;0;0;0;0;0;0;0
13/05/2009;0;0;0;0;0;0;0;0
15/05/2009;0;0;0;0;0;0;1;1
18/05/2009;0;0;0;0;0;0;0;1
20/05/2009;0;0;0;0;0;0;0;0
22/05/2009;0;0;0;0;0;0;0;0
25/05/2009;0;0;0;0;0;0;0;0
27/05/2009;1;0;0;0;0;0;0;0
29/05/2009;0;0;0;1;0;0;0;0
01/06/2009;0;0;0;0;0;0;1;0
03/06/2009;1;0;0;0;0;0;0;0
05/06/2009;0;0;0;0;0;0;0;0
08/06/2009;0;0;0;0;0;0;0;0
10/06/2009;0;0;1;0;0;0;0;0
12/06/2009;0;0;0;0;0;0;0;0
15/06/2009;0;0;0;2;0;0;0;0
17/06/2009;0;0;0;0;0;0;0;0
19/06/2009;0;0;0;0;0;0;0;0
22/06/2009;0;0;0;0;0;0;0;0
24/06/2009;0;0;0;0;0;0;0;0
26/06/2009;0;0;0;1;0;0;0;0
29/06/2009;0;0;0;0;0;0;0;0
01/07/2009;0;0;0;0;0;0;0;0
03/07/2009;0;0;0;0;0;0;0;0
06/07/2009;0;0;0;2;0;0;0;0
08/07/2009;0;0;0;1;0;0;0;0
10/07/2009;0;0;1;0;0;0;0;0
13/07/2009;1;0;0;1;0;0;0;0
15/07/2009;0;0;0;0;0;0;1;0
17/07/2009;1;0;1;0;0;0;0;0
20/07/2009;0;0;0;1;0;0;1;0
22/07/2009;0;0;0;2;0;0;0;0
24/07/2009;0;0;0;3;0;0;0;0
27/07/2009;0;1;0;0;0;0;0;0
29/07/2009;0;0;1;1;1;0;0;0
31/07/2009;0;1;1;2;1;0;0;0
03/08/2009;0;0;0;0;0;0;0;0
05/08/2009;0;0;0;0;0;0;0;0
07/08/2009;0;0;0;0;0;0;0;0
10/08/2009;0;0;0;1;0;0;0;0
12/08/2009;0;0;0;0;0;0;0;0
14/08/2009;0;0;0;0;0;0;0;0
17/08/2009;0;0;0;1;0;0;0;0
19/08/2009;0;0;0;0;0;0;0;0
21/08/2009;0;0;0;0;0;0;0;0
24/08/2009;0;0;0;1;0;1;0;0
26/08/2009;1;0;0;0;0;0;0;0
28/08/2009;1;0;0;1;0;0;0;0
31/08/2009;0;0;0;0;0;0;0;0
02/09/2009;0;0;0;0;0;0;0;0
04/09/2009;0;0;0;0;0;0;0;0
07/09/2009;0;0;0;0;0;0;0;0
09/09/2009;0;0;0;0;0;0;0;0
11/09/2009;0;0;0;0;0;0;0;0
14/09/2009;0;0;0;0;0;0;0;0
16/09/2009;0;0;0;0;0;0;0;0
18/09/2009;0;0;0;0;0;0;0;0
21/09/2009;0;0;0;0;0;0;0;0
23/09/2009;0;0;0;0;0;0;0;0
25/09/2009;0;0;0;0;0;0;0;0
27/09/2009;0;0;0;0;0;0;0;0
